Resolution,Type,Threads,Time(s),SpeedUp
480x270,CPU,0,1.69448,1
480x270,CUDA_NonVectorized,2,0.111328,15.2205
480x270,CUDA_Vectorized,2,0.0740865,22.8716
480x270,CUDA_NonVectorized,4,0.0476108,35.5902
480x270,CUDA_Vectorized,4,0.0492166,34.429
480x270,CUDA_NonVectorized,8,0.0416191,40.7139
480x270,CUDA_Vectorized,8,0.0404115,41.9305
480x270,CUDA_NonVectorized,16,0.0399336,42.4323
480x270,CUDA_Vectorized,16,0.035584,47.619
960x540,CPU,0,6.6463,1
960x540,CUDA_NonVectorized,2,0.143305,46.3787
960x540,CUDA_Vectorized,2,0.242898,27.3625
960x540,CUDA_NonVectorized,4,0.101933,65.2025
960x540,CUDA_Vectorized,4,0.126546,52.521
960x540,CUDA_NonVectorized,8,0.0986238,67.3904
960x540,CUDA_Vectorized,8,0.0847969,78.379
960x540,CUDA_NonVectorized,16,0.0851577,78.0469
960x540,CUDA_Vectorized,16,0.077828,85.3972
1920x1080,CPU,0,26.7049,1
1920x1080,CUDA_NonVectorized,2,0.448357,59.5617
1920x1080,CUDA_Vectorized,2,0.959897,27.8206
1920x1080,CUDA_NonVectorized,4,0.26354,101.331
1920x1080,CUDA_Vectorized,4,0.356977,74.8085
1920x1080,CUDA_NonVectorized,8,0.255112,104.679
1920x1080,CUDA_Vectorized,8,0.225999,118.164
1920x1080,CUDA_NonVectorized,16,0.223339,119.571
1920x1080,CUDA_Vectorized,16,0.202296,132.009
4k,CPU,0,106.242,1
4k,CUDA_NonVectorized,2,1.20078,88.4773
4k,CUDA_Vectorized,2,2.5043,42.4237
4k,CUDA_NonVectorized,4,0.659791,161.024
4k,CUDA_Vectorized,4,0.888897,119.521
4k,CUDA_NonVectorized,8,0.628025,169.168
4k,CUDA_Vectorized,8,0.5508,192.887
4k,CUDA_NonVectorized,16,0.570806,186.126
4k,CUDA_Vectorized,16,0.505494,210.174
8k,CPU,0,427.827,1
8k,CUDA_NonVectorized,2,4.83388,88.5059
8k,CUDA_Vectorized,2,9.2243,46.3804
8k,CUDA_NonVectorized,4,2.476,172.789
8k,CUDA_Vectorized,4,3.39041,126.187
8k,CUDA_NonVectorized,8,2.21239,193.378
8k,CUDA_Vectorized,8,1.96513,217.709
8k,CUDA_NonVectorized,16,2.02039,211.754
8k,CUDA_Vectorized,16,1.76778,242.013
